cluster_id,property,count,cluster_size
cluster_1,Optical Emission Peak Energy,1,572
cluster_1,Optical Emission Peak,1,572
cluster_1,Laser Emission Peak Energy,1,572
cluster_1,Optical Absorption Peak Energy,1,572
cluster_1,Optical Emission Intensity,1,572
cluster_1,Optical Emission Peak Assignment,1,572
cluster_1,Laser Emission Peak,1,572
cluster_1,Emission peak wavelength,1,572
cluster_1,Peak Photon Energy,1,572
cluster_1,Optical emission spectrum,1,572
cluster_1,Excitonic Emission Peak Energy,1,572
cluster_1,Spontaneous Emission Peak Energy,1,572
cluster_1,Visible Emission Peaks,1,572
cluster_1,Peak Output Optical Power,1,572
cluster_1,Photoluminescence Peak Energy,1,572
cluster_1,Band Emission Peak Energy,1,572
cluster_1,Emission peak,1,572
cluster_1,Optical Emission,1,572
cluster_1,Emission intensity,1,572
cluster_1,Optical Threshold Energy,1,572
cluster_1,UV emission peak,1,572
cluster_1,12 K UV Emission Peak Energy,1,572
cluster_1,Optical Absorption Peaks,1,572
cluster_1,Peak Emission Energy Shift,1,572
cluster_1,Photocurrent Spectrum Peak Energy,1,572
cluster_1,PL Emission Wavelength (Peak),1,572
cluster_1,FWHM of Emission Peak,1,572
cluster_1,Band-edge Emission Peak Energy (Polarized),1,572
cluster_1,Optical transition energy,1,572
cluster_1,Photoluminescence peak energy (PL max) at 2 K,1,572
cluster_1,Stimulated Emission Threshold Intensity,1,572
cluster_1,Dominant Emission Peak,1,572
cluster_1,Photoluminescence Emission Peak Shift with Excitation Energy,1,572
cluster_1,CL emission peak energy,1,572
cluster_1,Resonant Emission Peak Intensity,1,572
cluster_1,Light Emission Characteristics,1,572
cluster_1,Emission Intensity Variation,1,572
cluster_1,Green Emission Peak Wavelength,1,572
cluster_1,Emission wavelength,1,572
cluster_1,Photoluminescence Peak Intensity,1,572
cluster_1,Visible Light Emission,1,572
cluster_1,Stimulated Emission Peak FWHM,1,572
cluster_1,Optical Emission (Deep Level),1,572
cluster_1,Laser Emission Wavelength,1,572
cluster_1,UV Emission Intensity,1,572
cluster_1,Light emission efficiency,1,572
cluster_1,UV Emission Peak (PL),1,572
cluster_1,PL Emission Peak (Other),1,572
cluster_1,Emission Light,1,572
cluster_1,Barrier Emission Peak Energy,1,572
cluster_1,Stimulated Emission Wavelength/Photon Energy,1,572
cluster_1,Photoluminescence emission energy,1,572
cluster_1,Photoluminescence Wavelength Peak,1,572
cluster_1,Ground State Emission Peak Wavelength,1,572
cluster_1,Optical emission FWHM,1,572
cluster_1,Optical Activation Energy,1,572
cluster_1,Infrared emission intensity,1,572
cluster_1,Visible emission,1,572
cluster_1,Luminescence Peak Energy,1,572
cluster_1,EL Emission Peak Wavelength,1,572
cluster_1,Emission Peak Energy vs Temperature,1,572
cluster_1,Emission Peak Width,1,572
cluster_1,Surface Emission Intensity,1,572
cluster_1,Band-edge luminescence peak energy,1,572
cluster_1,Optical emission (PL),1,572
cluster_1,Optical Ionization Energy,1,572
cluster_1,Amplified Spontaneous Emission (ASE) Threshold Energy,1,572
cluster_1,Emission Spectrum,1,572
cluster_1,Photoluminescence emission intensity,1,572
cluster_1,Plasma Emission Intensity,1,572
cluster_1,Emission Spectral Range,1,572
cluster_1,Near-band-edge Photoluminescence Peak Energy,1,572
cluster_1,Stimulated emission wavelength,1,572
cluster_1,Emission energy range,1,572
cluster_1,Photoluminescence Peak Energy (NBE),1,572
cluster_1,Intensity of broad emission band,1,572
cluster_1,Violet Emission Intensity,1,572
cluster_1,Absorption Peak Wavelengths,1,572
cluster_1,Activation energy for emission,1,572
cluster_1,Edge Output Emission Intensity,1,572
cluster_1,Photon Emission Efficiency,1,572
cluster_1,Blue Emission Peak (PL),1,572
cluster_1,Quantum Well Emission Peak Wavelength,1,572
cluster_1,Emission peak position,1,572
cluster_1,Defect-related Emission Peak Energy,1,572
cluster_1,Amplified Spontaneous Emission Threshold,1,572
cluster_1,Exciton Emission Peak,1,572
cluster_1,Deep Level Emission Wavelength,1,572
cluster_1,Optical Intensity Profile,1,572
cluster_1,Saturation Emission Intensity,1,572
cluster_1,Optical Properties - PL Emission,1,572
cluster_1,Optical Properties (PL Peak),1,572
cluster_1,Visible Emission Band,1,572
cluster_1,CL Emission Peak,1,572
cluster_1,Dominant Emission Wavelength,1,572
cluster_1,Optical energy gap,1,572
cluster_1,Photoresponse Peak Energy,1,572
cluster_1,NBE Emission Peak Wavelength,1,572
cluster_1,Peak Reflectance Wavelength,1,572
cluster_1,Hg Emission Intensity,1,572
cluster_1,Photoluminescence (NBE emission peak),1,572
cluster_1,Band Edge Emission Activation Energy,1,572
cluster_1,Emission spectra,1,572
cluster_1,Emission Intensity vs. Excitation Power,1,572
cluster_1,UC Emission Intensity,1,572
cluster_1,Optical Emission Homogeneity,1,572
cluster_1,PL emission spectrum,1,572
cluster_1,Photoluminescence Emission Maximum,1,572
cluster_1,Optical Power Density,1,572
cluster_1,Acceptor bound exciton emission peak energy,1,572
cluster_1,Light Intensity Exponent,1,572
cluster_1,Blueshift of emission peak wavelength,1,572
cluster_1,Threshold Excitation Power Density for Stimulated Emission,1,572
cluster_1,Quantum dot emission intensity,1,572
cluster_1,PL emission wavelength,1,572
cluster_1,PL Peak Energy Shift with Laser Power,1,572
cluster_1,Excited state emission wavelength,1,572
cluster_1,Green Emission Intensity,1,572
cluster_1,Emission Energy,1,572
cluster_1,Optical Energy (E04),1,572
cluster_1,UV Photonic Emission,1,572
cluster_1,Red emission intensity,1,572
cluster_1,Spontaneous Emission Wavelength,1,572
cluster_1,SHG Emission Wavelength,1,572
cluster_1,Green Emission Peak,1,572
cluster_1,Ga+ emission intensity,1,572
cluster_1,Direct Bandgap Emission Peak,1,572
cluster_1,Photoluminescence spectrum intensity,1,572
cluster_1,1.54 µm Emission Intensity,1,572
cluster_1,Broad Emission Band Energy,1,572
cluster_1,Optical Gain at Threshold,1,572
cluster_1,Emission Enhancement,1,572
cluster_1,Electroluminescence peak wavelength,1,572
cluster_1,Emission Frequency,1,572
cluster_1,Emission maximum,1,572
cluster_1,Emission Wavelength Shift,1,572
cluster_1,Near-band-edge (NBE) emission peak energy,1,572
cluster_1,Maximum Optical Power,1,572
cluster_1,Band-Edge Emission,1,572
cluster_1,Optical bandgap energy,1,572
cluster_1,Peak Wavelength,1,572
cluster_1,Emission maxima,1,572
cluster_1,Deep Level Emission Peak Position,1,572
