Keyword,Count
thickness,248
crystal,98
structure,250
surface,304
morphology,208
specific,20
cross,78
sectional,31
composition,193
open,26
circuit,52
voltage,202
overall,31
band,399
gap,205
fill,16
factor,129
short,20
current,375
density,409
carrier,150
concentration,340
power,194
conversion,48
efficiency,295
presence,298
interlayer,32
spacing,76
resistivity,44
refractive,28
index,52
optical,208
diameter,107
doping,102
roughness,48
energy,679
lattice,124
parameter,112
not,36
specified,5
constant,112
bandgap,60
external,27
quantum,103
grain,40
size,151
growth,148
rate,240
mobility,119
small,7
crystallites,4
crystallinity,30
property,7
sheet,34
resistance,152
length,134
electron,209
assumed,1
orientation,71
dislocation,44
applicable,7
absorption,221
coefficient,153
spectrum,151
layer,212
hall,44
responsivity,43
dark,88
film,76
rms,17
series,7
peak,588
edge,123
dielectric,50
photocurrent,129
relative,47
crystalline,41
quality,117
emission,425
wavelength,186
temperature,332
work,11
function,53
lateral,47
intensity,300
photoluminescence,135
full,54
width,216
half,69
maximum,187
transmittance,35
role,17
activation,83
lumo,18
level,162
hole,119
material,54
homo,21
threading,11
stability,92
conductivity,71
molecular,27
weight,27
strain,91
binding,75
electrical,58
ideality,13
height,84
photoconductivity,42
thermal,65
particle,19
system,25
characterization,13
improvement,6
phase,108
etch,52
average,138
approx,2
defect,116
other,3
extinction,14
voc,17
jsc,21
output,85
threshold,90
shunt,6
tensile,5
strength,46
elemental,19
cut,13
off,34
contact,52
preferred,11
type,122
raman,116
bond,87
properties,45
general,6
response,105
time,216
chemical,49
schottky,17
barrier,82
position,155
area,75
deposition,27
lifetimes,7
detectivity,13
spacings,3
interplanar,9
vis,16
plane,61
effective,89
internal,23
ray,44
rocking,40
curve,55
fwhm,197
luminescence,60
direction,12
capacitance,68
polydispersity,2
sensitivity,59
mode,154
mismatch,24
characteristics,81
pce,15
maximums,1
mass,46
affinity,8
incident,11
photon,43
states,73
number,97
periods,6
donor,53
charge,132
transfer,55
leakage,29
breakdown,26
device,40
crystallographic,16
exciton,115
reconstruction,5
reflectivity,29
lasing,24
epitaxial,24
relationship,17
minority,11
lifetime,101
conduction,59
offset,15
turn,17
operating,29
absorbance,26
stoichiometry,17
microstructure,12
schematic,19
levels,26
urbach,10
aluminum,4
photoresponsivity,3
gate,43
interface,148
performance,42
metrics,4
valence,56
well,39
photosensitivity,10
spectral,95
onset,33
eqe,18
stress,55
polarity,13
rise,19
dopant,17
state,168
aspect,5
ratio,333
achieved,2
reflectance,29
transparency,13
impurity,38
peaks,48
decay,85
dimensions,32
flat,6
potential,101
residual,40
formation,70
yield,41
secondary,9
phases,8
young,1
modulus,13
atomic,66
etching,22
content,109
fluorescence,25
for,84
indium,16
saturation,47
maxima,7
mole,21
fraction,72
structural,37
light,92
solar,32
cell,53
cavity,40
recombination,84
velocity,39
photocatalytic,24
activity,22
purity,15
hardness,12
hydrogen,25
conditions,14
spectra,44
diagram,23
transmission,50
porosity,3
pore,14
solubility,3
fermi,31
gain,92
photoresponse,32
alignment,27
forward,28
slope,22
ipce,12
oxidation,37
xrd,67
electroluminescence,26
explicitly,15
detailed,8
transconductance,12
color,13
diffusion,53
shape,68
radius,42
recovery,15
adsorption,20
pattern,50
substrate,54
photovoltaic,28
oscillator,12
stacking,31
faults,9
detection,25
limit,14
transition,100
percentage,8
acceptors,3
spectroscopy,22
characteristic,48
selectivity,10
shift,132
nitrogen,19
uniformity,61
photo,25
near,48
adhesion,8
rectification,8
reverse,33
sharpness,9
total,56
layers,12
technique,3
melting,4
point,30
annealing,21
imaginary,15
part,24
bandwidth,41
seebeck,2
ionization,24
stokes,2
carbon,31
magnetization,11
rheed,13
pit,18
pairs,9
cathodoluminescence,11
glass,5
degradation,33
period,28
linewidth,48
radiative,22
defects,42
matching,9
expansion,6
dipole,9
moment,16
oxygen,45
decomposition,17
capture,26
section,46
observation,4
persistent,4
traps,18
method,22
topography,5
free,44
distribution,130
bulk,34
deg,22
magnetic,42
photovoltage,25
wavelengths,2
shell,19
depth,74
diffraction,49
volume,34
angle,80
figure,10
merit,7
noise,64
equivalent,17
phonon,82
frequency,118
microstrain,2
trap,64
polarization,54
extrinsic,3
deep,63
modes,23
present,3
carriers,6
bonding,39
unit,11
cutoff,15
signal,66
built,10
active,43
rejection,8
visible,33
mechanism,36
coverage,24
photoconductive,7
curie,4
implantation,14
dose,9
insertion,1
loss,73
angles,8
bending,13
drain,51
metric,3
yields,1
flow,21
field,142
effect,69
fall,8
dynamic,12
range,65
dependence,105
gan,54
corresponding,2
top,19
view,21
overview,1
screw,9
periodicity,15
separation,42
configuration,42
geometry,23
laser,41
electronic,25
abruptness,8
finger,10
alloy,5
permittivity,8
electric,42
depletion,12
polycrystalline,3
nature,22
inner,2
fringe,2
oscillation,17
relaxation,44
superlattice,7
grating,20
polytypes,2
bias,68
wall,9
reproducibility,5
pixel,12
pitch,7
plug,2
functional,7
groups,14
water,11
poisson,2
qws,1
physical,6
form,4
yellow,8
zeta,1
ftir,13
core,35
harvesting,3
value,27
distance,67
hysteresis,18
coercive,3
conductance,31
photoconversion,3
integrated,36
iii,5
dihedral,4
amorphous,10
root,4
mean,40
squared,2
excitonic,31
curvature,9
oxide,19
bet,1
electrochemical,16
behavior,53
resonance,32
characterized,2
cyclic,7
voltammetry,5
excitation,48
boundary,12
texture,8
minimum,32
confinement,25
channel,23
buffer,17
tilt,14
termination,5
mesa,17
domain,21
added,4
elastic,13
bands,15
stripe,7
resolution,24
junction,34
elasticity,2
xrc,8
fwhms,1
diode,24
semiconductor,4
absorber,7
propagation,14
sem,23
image,19
bondings,1
dye,12
loading,7
enhancement,54
chip,6
areal,4
symmetry,11
generation,36
vbm,13
step,19
pinch,2
net,19
acceptor,45
stimulated,15
fabrication,7
misfit,9
dislocations,21
boron,10
profiles,2
photostability,1
photoelectrochemical,6
magnetoresistance,7
operability,2
heterojunction,9
subthreshold,4
swing,5
ground,28
linear,17
resonant,14
evolution,22
difference,24
impedance,20
measurement,16
photoelectric,6
frame,1
constants,8
consumption,6
quenching,27
compensation,11
cohesive,2
identification,7
wells,4
cladding,7
parameters,43
highest,4
occupied,3
orbital,15
superconducting,5
background,26
haze,4
values,3
piezoelectric,14
plan,1
spontaneous,17
xps,33
vacancies,12
ion,23
ioff,1
micro,6
cie,5
chromaticity,2
coordinates,7
side,7
suppression,3
based,3
coupling,56
heat,17
capacity,19
homogeneity,10
dependent,17
axis,21
far,17
fahp,1
absorptance,5
extraction,7
pressure,34
passivation,8
partial,5
aperture,11
transport,27
ferromagnetism,2
condition,11
center,14
differential,26
molar,21
reliability,2
space,20
group,12
two,14
dimensional,8
gas,25
times,5
compressive,8
application,6
chemistry,2
incorporation,37
degree,20
gradient,12
profile,84
basal,10
fault,7
status,6
product,30
biaxial,10
ligand,6
spin,38
interband,5
critical,28
impurities,7
vibrational,13
coercivity,2
luminance,7
ridge,8
amount,16
tuning,15
waveguide,19
luminous,5
discontinuity,3
coating,21
features,18
crack,10
fundamental,7
dispersion,26
real,15
treatment,7
thermoelectric,4
modulation,29
cbm,10
region,39
widths,2
direct,21
collection,12
reorganization,5
bonded,4
read,3
speed,16
zero,25
absence,9
droop,1
cracks,3
diffusivity,2
first,22
excited,12
single,30
reduction,34
iqe,2
crosstalk,6
between,21
electrodes,3
base,19
lod,1
emissivity,3
nonlinear,18
friction,2
auger,8
plasmon,14
arrangement,7
high,27
elements,5
architecture,5
reflection,31
optimized,12
vacancy,16
cleanliness,3
per,35
nbe,36
cap,6
pulse,21
duration,6
dissipation,4
viscosity,1
long,10
term,5
cycle,11
facet,23
count,7
shear,8
plasma,18
array,19
scattering,37
rct,2
electrode,23
bimolecular,2
inductance,2
netd,4
contamination,12
hydrodynamic,3
transverse,10
rendering,1
complex,8
cytotoxicity,1
photonic,10
pbg,3
modal,14
enthalpy,7
qds,13
coherence,13
flexural,2
cost,9
line,44
smoothness,7
excess,10
interfacial,34
pinning,1
element,16
heterostructure,4
nanoparticle,6
bit,5
error,16
