Main Term,Count
"Thickness",13
"Crystal Structure",7
"Surface Morphology",11
"Cross-Sectional Morphology",1
"Composition",33
"Open-circuit Voltage",3
"Morphology",13
"Band gap",2
"Fill factor",1
"Short-circuit current density",1
"Carrier Concentration",4
"Power conversion efficiency",1
"Presence",2
"Interlayer Spacing",10
"Resistivity",1
"Refractive Index",2
"Optical band gap",1
"Diameter",2
"Doping Concentration",2
"Surface Roughness",3
"Band Gap energy",1
"Lattice parameter",2
"Not Specified",1
"a lattice constant",1
"Bandgap",4
"Structure",3
"External Quantum Efficiency",1
"Grain Size",2
"Doping",5
"Growth rate",1
"Mobility",3
"Size of Small Crystallites",1
"Concentration",2
"Crystallinity",5
"Property",1
"Sheet resistance",1
"Length",1
"Electron mobility",1
"Orientation",1
"Dislocation Density",3
"Not Applicable",4
"Absorption Coefficient",1
"Overall Absorption Spectrum",1
"Thickness of layer",1
"Hall mobility",3
"Responsivity",4
"Efficiency",6
"Dark Current",5
"Density",2
"Film Thickness",1
"Surface rms roughness",1
"Series Resistance",2
"Bandgap Energy Eg",1
"Absorption peak",2
"Absorption edge",1
"Dielectric constant",1
"Photocurrent Density",4
"Crystalline Quality",6
"Emission wavelength",1
"Growth temperature",1
"Optical bandgap",2
"Work Function",4
"Function",1
"Lateral size",2
"PL Intensity",4
"Size",1
"Photoluminescence Peak Intensity",2
"Photocurrent",9
"Photoluminescence",4
"Full-width at half-maximum",1
"Optical transmittance",1
"Role",1
"Transmittance",2
"Activation energy",2
"LUMO Level Energy",1
"Hole Mobility",3
"Material",1
"Crystal orientation",1
"HOMO Energy Level",1
"Width",1
"Threading Dislocation density",1
"Stability",7
"Conductivity",3
"Molecular weight",2
"Strain",3
"Binding energy",3
"Crystal quality",4
"Electrical resistivity",1
"Ideality Factor",1
"Height",1
"Photoconductivity",3
"Thermal and Electrical Conductivity",1
"Particle size",1
"System Characterization",1
"Electron concentration",1
"Absorption",2
"Conversion Efficiency Improvement",1
"Phase",1
"PL peak energy",1
"Quantum Efficiency",2
"Etch-rate",1
"Average Diameter",1
"Crystal Phase",1
"Carrier density",1
"Thermal stability",2
"Optical Absorption",2
"Defect density",3
"Electrical Conductivity",2
"PL Emission Peak",2
"Extinction Coefficient",1
"Dark current density",2
"VOC",1
"Energy gap",1
"Dark electrical conductivity",1
"Jsc",3
"Output power",2
"RMS roughness",1
"Threshold Current",1
"Doping level",1
"Shunt resistance",1
"Tensile Strength",1
"Carrier Mobility",4
"Elemental Composition",1
"Cut-off Wavelength",1
"Contact Resistance",1
"Preferred orientation",1
"Hole concentration",1
"Photoluminescence spectrum intensity",1
"IS Raman peak",1
"Bond length",1
"Optical Properties",3
"Response Time",5
"Chemical Composition",3
"Schottky-Barrier Height",1
"Threshold Current Density",1
"PL peak position",1
"Surface Area",2
"FF",1
"Deposition rate",1
"Photoluminescence Peak Energy",2
"Average Size",1
"Carrier Lifetimes",1
"Crystalline Structure",1
"Threshold voltage",1
"Detectivity",2
"Short-circuit Current",1
"Lattice Spacings",1
"Interplanar Spacing",4
"UV–vis absorption",1
"In-plane Thermal Conductivity",1
"HOMO level",1
"Barrier Height",3
"Effective Internal Quantum Efficiency",1
"X-Ray Rocking Curve FWHM",1
"Luminescence",3
"Growth Direction",1
"Fill factor, FF",1
"Capacitance",1
"Conductivity Type",1
"Polydispersity index",1
"Sensitivity",2
"Growth mode",1
"Lattice mismatch",2
"LUMO Level",1
"I–V-characteristics",1
"PCE",2
"Barrier thickness",1
"Absorption Maximums",1
"Effective Mass",1
"Electron Affinity",1
"Incident-Photon-to-Current Conversion Efficiency",1
"Density of states",1
"Number of Periods",1
"Donor Concentration",1
"Charge transfer resistance",2
"Al Composition",1
"Leakage current",1
"Phase composition",1
"Short-circuit Current Density",1
"Breakdown Voltage",4
"Device Structure",1
"Crystallographic orientation",1
"Exciton binding energy",1
"Absorption wavelength",1
"Overall Structure",1
"Emission peak wavelength",1
"Band structure",1
"Surface Reconstruction",1
"Reflectivity",1
"Lasing wavelength",1
"Epitaxial Relationship",2
"Minority-carrier lifetime",1
"Average size of crystallites",1
"Conduction-Band Offset",1
"PL Spectrum",1
"PL peak wavelength",1
"Turn-ON Voltage",1
"Operating temperature",1
"Absorbance",2
"Stoichiometry",7
"Microstructure",3
"FWHM",7
"Schematic structure",1
"Energy Levels",1
"Urbach's energy",1
"Aluminum composition",1
"Photoresponsivity",1
"Gate Length",1
"Interface Morphology",1
"Resistance",1
"Performance metrics",1
"Valence-Band Offset",1
"Rocking curve FWHM",1
"Raman spectrum",1
"Well Width",1
"Temperature",1
"Photosensitivity",1
"Spectral Response 1",1
"Absorption Onset",1
"EQE",2
"Electron lifetime",1
"Optical band gap energy",1
"Stress",1
"PL Peak",2
"Well Thickness",1
"Polarity",1
"Roughness",4
"Interface Quality",1
"PL Emission",4
"Rise time",1
"Dopant concentration",1
"Strain State",1
"Short-circuit Photocurrent Density",1
"Aspect Ratio Achieved",1
"Reflectance",1
"Transparency",1
"Emission peak",1
"Impurity concentration",1
"Raman Peaks",1
"Decay Time",3
"Dimensions",1
"Flat-band Potential",1
"Residual stress",1
"Formation energy",1
"Quantum yield",1
"Dopant",1
"Wavelength",1
"Current–voltage characteristics",2
"Presence of secondary phases",1
"Young's modulus",1
"HOMO–LUMO gap",1
"Atomic ratio",1
"Etching rate",1
"Optical gap",4
"Material type",1
"Photoluminescence emission",1
"Optical Band Gap",2
"Al content",1
"Fluorescence Intensity",1
"Effective Mass for Electron",1
"Indium Composition",2
"Saturation Current Density",1
"Absorption maxima",1
"Photoluminescence Wavelength Peak",1
"Optical Absorption Coefficient",1
"Al mole fraction",1
"PL decay time",1
"Structural quality",2
"Light Output Power",1
"Solar cell efficiency",1
"Cavity Length",1
"Film morphology",1
"Optical quality",1
"Surface-recombination velocity",1
"Emission Energy",1
"Photocatalytic Activity",1
"Purity",1
"Emission intensity",1
"Quality Factor",1
"Photoluminescence spectrum",1
"Hardness",2
"Hydrogen content",1
"Growth Conditions",1
"Leakage current density",1
"Absorption Spectra",1
"Energy Band Diagram",1
"Optical transmission",1
"Porosity",1
"Pore Size",2
"Overall Power Conversion Efficiency",1
"Solubility",1
"Doping Density",1
"Position of Fermi level",1
"Gain",1
"Photoresponse",6
"Composition ratio",1
"Band alignment structure",1
"Transmission",2
"Forward Voltage",1
"On-Off Ratio",1
"Average Particle Size",1
"Slope Efficiency",2
"IPCE",2
"Oxidation State",1
"Raman Peak Position",1
"Surface Composition",2
"XRD Peak",2
"Electroluminescence peak wavelength",1
"Not Explicitly Detailed",1
"Transconductance",2
"Electron density",1
"Color",1
"Minority carrier diffusion length",1
"Material Composition",1
"Indium Content",1
"Shape",1
"Phase Purity",1
"Current density",2
"Chemical State",3
"Radius",1
"Recovery Time",1
"Emission Spectrum",1
"Adsorption energy",1
"Photoluminescence Full-Width at Half-Maximum",1
"XRD Pattern",1
"Substrate",1
"Interface States Density",1
"Photovoltaic Device Performance",1
"Oscillator strength",2
"Conduction type",1
"Average Transmittance",2
"Sheet-carrier density",1
"Mg Concentration",1
"Atomic Composition",2
"Photocurrent Response",1
"Stacking Faults Presence",1
