cluster_id,representative_property
cluster_1,(002) peak intensity
cluster_10,Absorbance peaks
cluster_100,Deep Impurity Related PL Peak Position
cluster_1000,Deep Level Density
cluster_1001,Conduction Band (CB) Level
cluster_1002,Tunability
cluster_1003,Mode
cluster_1004,Dark Recombination Current
cluster_1005,Strain-induced Bandgap Shift
cluster_1006,UV-vis λmax
cluster_1007,Stop band center
cluster_1008,UV Protection Factor
cluster_1009,Attenuation Range (Controlled)
cluster_101,Average Nanoparticle Size
cluster_1010,Threshold Field
cluster_1011,NIR Transmission
cluster_1012,Overpotential
cluster_1013,In composition in well layers
cluster_1014,Diameter
cluster_1015,LO-phonon replica energy
cluster_1016,C 1s core level
cluster_1017,Out-of-plane structural quality
cluster_1018,Off-Resonant Coupling
cluster_1019,On-Off Ratio
cluster_102,Average Radius
cluster_1020,Maximum Transmittance
cluster_1021,E2 Phonon Width
cluster_1022,Edge Resolution
cluster_1023,Fermi Level Position relative to Valence Band Edge
cluster_1024,Distribution profile
cluster_1025,Low-temperature PL
cluster_1026,NR Diameter
cluster_1027,Deep-Level Transient Spectroscopy (DLTS)
cluster_1028,Diffuse Scattering
cluster_1029,Energy level of the highest occupied molecular orbital
cluster_103,DLTS Trap Concentrations
cluster_1030,Insulating Properties
cluster_1031,Accuracy
cluster_1032,Onset voltage
cluster_1033,Rate of decrease of Peak Modal Gain with Temperature
cluster_1034,Electron-hole pair creation energy
cluster_1035,Coulomb Blockade Peak Position
cluster_1036,Depletion region widths
cluster_1037,Quantum Well Doping
cluster_1038,Material
cluster_1039,Flatband Voltage shift
cluster_104,Air Gap Thickness
cluster_1040,Beam Propagation Ratio
cluster_1041,FTIR
cluster_1042,Number of QWs
cluster_1043,Cathode
cluster_1044,Mode selectivity
cluster_1045,Metal-Insulator Transition
cluster_1046,Defect Level Position
cluster_1047,ECL Signal
cluster_1048,Resistance change upon H2 exposure
cluster_1049,Cladding Materials
cluster_105,Apparent Quantum Efficiency (AQE)
cluster_1050,Pump Threshold Power
cluster_1051,"Characteristic energy donors, acceptors"
cluster_1052,InAs Coverage
cluster_1053,Al 2p XPS Spectrum
cluster_1054,Diameter Control
cluster_1055,"Presence, Size"
cluster_1056,Diffusion Profile
cluster_1057,Atomic step height
cluster_1058,Interference Fringes
cluster_1059,Short-Circuit Current (Jsc)
cluster_106,Bulk Lifetime
cluster_1060,Heating Rate
cluster_1061,Second-Harmonic Generation Efficiency
cluster_1062,Maximum Power (Pmax)
cluster_1063,Diffraction Line Broadening
cluster_1064,Detective Quantum Efficiency
cluster_1065,Effective light-hole mass
cluster_1066,Impulse Response FWHM
cluster_1067,Absence of Efficiency Droop
cluster_1068,Electrode Surface Modification
cluster_1069,Free Energy of Electron Injection (ΔGinject)
cluster_107,Density / Surface Coverage
cluster_1070,Composition Gradient
