cluster_id,standard_property,count
cluster_1,emission,311
cluster_10,emission,33
cluster_100,peak,15
cluster_1000,deep,2
cluster_1001,intraband,1
cluster_1002,tunability,2
cluster_1003,mode,2
cluster_1004,recombination,2
cluster_1005,bandgap,2
cluster_1006,vis,1
cluster_1007,stop,1
cluster_1008,protection,1
cluster_1009,range,2
cluster_101,diameter,6
cluster_1010,threshold,2
cluster_1011,nir,1
cluster_1012,overpotential,1
cluster_1013,well,2
cluster_1014,diameter,1
cluster_1015,valence,1
cluster_1016,core,1
cluster_1017,structural,2
cluster_1018,off,1
cluster_1019,off,2
cluster_102,radius,12
cluster_1020,transmittance,2
cluster_1021,epilayer,1
cluster_1022,edge,2
cluster_1023,fermi,2
cluster_1024,distribution,1
cluster_1025,low,2
cluster_1026,diameter,1
cluster_1027,spectroscopy,2
cluster_1028,front,1
cluster_1029,energy,2
cluster_103,trap,18
cluster_1030,insulation,1
cluster_1031,accuracy,2
cluster_1032,onset,2
cluster_1033,rate,2
cluster_1034,electron,2
cluster_1035,peak,2
cluster_1036,depletion,1
cluster_1037,quantum,2
cluster_1038,material,2
cluster_1039,shift,2
cluster_104,gap,22
cluster_1040,ratio,2
cluster_1041,ftir,2
cluster_1042,strain,1
cluster_1043,cathode,2
cluster_1044,selectivity,2
cluster_1045,insulator,2
cluster_1046,defect,2
cluster_1047,ecl,2
cluster_1048,resistance,2
cluster_1049,cladding,2
cluster_105,quantum,19
cluster_1050,quantization,1
cluster_1051,energy,2
cluster_1052,inas,2
cluster_1053,spectrum,2
cluster_1054,control,2
cluster_1055,presence,2
cluster_1056,diffusion,2
cluster_1057,atomic,1
cluster_1058,optical,1
cluster_1059,jsc,2
cluster_106,lifetime,22
cluster_1060,heating,1
cluster_1061,efficiency,2
cluster_1062,power,2
cluster_1063,mode,1
cluster_1064,quantum,2
cluster_1065,hole,2
cluster_1066,fwhm,2
cluster_1067,efficiency,2
cluster_1068,electrode,1
cluster_1069,free,2
cluster_107,surface,20
cluster_1070,gradient,2
cluster_1071,heat,1
cluster_1072,transition,2
cluster_1073,content,1
cluster_1074,peaks,2
cluster_1075,nanoparticle,1
cluster_1076,paramagnetic,1
cluster_1077,plasma,1
cluster_1078,mode,2
cluster_1079,enhancement,2
cluster_108,zno,18
cluster_1080,luminance,1
cluster_1081,interband,1
cluster_1082,valence,2
cluster_1083,surface,2
cluster_1084,dark,2
cluster_1085,dominant,2
cluster_1086,pec,2
cluster_1087,recombination,2
cluster_1088,internal,1
cluster_1089,burstein,1
cluster_109,orientation,18
cluster_1090,temperature,2
cluster_1091,temperature,2
cluster_1092,topography,2
cluster_1093,maximum,2
cluster_1094,asymmetry,2
cluster_1095,diagram,2
cluster_1096,recombination,2
cluster_1097,effect,2
cluster_1098,maximum,2
cluster_1099,transmission,2
cluster_11,structure,67
cluster_110,fwhm,21
cluster_1100,charge,2
cluster_1101,strain,2
cluster_1102,averaged,1
cluster_1103,plasmon,1
cluster_1104,deep,2
cluster_1105,blend,2
cluster_1106,cavity,2
cluster_1107,impurity,2
cluster_1108,multilayer,1
cluster_1109,thz,1
cluster_111,resistivity,19
cluster_1110,magnetoresistance,1
cluster_1111,trpl,1
cluster_1112,sheet,1
cluster_1113,rate,2
cluster_1114,crack,1
cluster_1115,sharpness,2
cluster_1116,optimization,1
cluster_1117,scratch,1
cluster_1118,orientation,2
cluster_1119,passivation,2
cluster_112,conductance,6
cluster_1120,activity,1
cluster_1121,surface,1
cluster_1122,texture,1
cluster_1123,responsivity,2
cluster_1124,work,1
cluster_1125,growth,2
cluster_1126,ground,2
cluster_1127,type,2
cluster_1128,number,1
cluster_1129,solution,1
cluster_113,deposition,19
cluster_1130,oxygen,1
cluster_1131,characteristics,2
cluster_1132,tuning,2
cluster_1133,luttinger,1
cluster_1134,integration,1
cluster_1135,resistance,2
cluster_1136,etch,2
cluster_1137,number,1
cluster_1138,cooling,2
cluster_1139,hole,1
cluster_114,noise,21
cluster_1140,conversion,1
cluster_1141,dark,2
cluster_1142,dimensions,2
cluster_1143,carrier,2
cluster_1144,width,2
cluster_1145,saturated,2
cluster_1146,fabry,2
cluster_1147,mode,1
cluster_1148,depth,2
cluster_1149,blueshift,1
cluster_115,xrd,13
cluster_1150,electrochemical,2
cluster_1151,crack,1
cluster_1152,bulk,2
cluster_1153,xrd,2
cluster_1154,indium,1
cluster_1155,average,1
cluster_1156,width,1
cluster_1157,non,2
cluster_1158,pixel,2
cluster_1159,chlorine,2
cluster_116,content,4
cluster_1160,stretching,2
cluster_1161,mosaicity,1
cluster_1162,coupling,2
cluster_1163,physical,2
cluster_1164,optimal,1
cluster_1165,ordering,2
cluster_1166,spacing,2
cluster_1167,doping,1
cluster_1168,polaron,1
cluster_1169,steady,2
cluster_117,drain,22
cluster_1170,dependence,2
cluster_1171,growth,2
cluster_1172,bond,1
cluster_1173,mechanical,1
cluster_1174,presence,1
cluster_1175,dislocation,2
cluster_1176,cooling,2
cluster_1177,photocatalytic,1
cluster_1178,absorptance,2
cluster_1179,grain,2
cluster_118,impurity,17
cluster_1180,nitridation,1
cluster_1181,adiabatic,1
cluster_1182,characteristic,2
cluster_1183,general,1
cluster_1184,state,2
cluster_1185,coalescence,2
cluster_1186,deep,2
cluster_1187,transmission,2
cluster_1188,contribution,2
cluster_1189,purity,2
cluster_119,density,19
cluster_1190,ingan,1
cluster_1191,latent,1
cluster_1192,reduced,2
cluster_1193,field,2
cluster_1194,size,2
cluster_1195,phonon,1
cluster_1196,position,1
cluster_1197,characteristic,2
cluster_1198,mechanical,1
cluster_1199,modulator,1
cluster_12,thickness,89
cluster_120,energy,4
cluster_1200,radiative,2
cluster_1201,effective,1
cluster_1202,calibration,2
cluster_1203,dephasing,2
cluster_1204,level,2
cluster_1205,parameter,2
cluster_1206,mode,2
cluster_1207,rate,2
cluster_1208,potential,1
cluster_1209,rate,2
cluster_121,peak,14
cluster_1210,local,2
cluster_1211,average,2
cluster_1212,intermixing,1
cluster_1213,stability,2
