cluster_id,cluster_total_frequency,member_count,property,count
1,110492,114,Thickness,108547
2,30195,79,Crystal Structure,24730
3,29237,241,Surface Morphology (Specific),1
4,26264,116,Cross-Sectional Morphology,115
5,22452,22,Composition,21803
6,19456,27,Open-circuit Voltage,4484
7,18330,111,Morphology (Overall),66
8,17605,152,Band gap,3958
9,16941,25,Fill factor,3516
10,16642,121,Short-circuit current density,5013
11,12905,129,Carrier Concentration,9349
12,12742,95,Power conversion efficiency,1800
13,12155,47,Presence,11622
14,11919,55,Interlayer Spacing,10602
15,11187,21,Resistivity,11078
16,10738,165,Refractive Index,7078
17,9692,135,Optical band gap,1803
18,9287,33,Diameter,9066
19,9032,149,Doping Concentration,6884
20,8939,131,Surface Roughness,7243
21,8773,227,Band Gap energy,3
22,8246,120,Lattice parameter,1104
23,8150,5,Not Specified,4007
24,8025,93,a lattice constant,3
25,7088,7,Bandgap,7071
26,7070,2,Structure,7069
27,6901,142,External Quantum Efficiency,4461
28,6878,92,Grain Size,5432
29,6667,43,Doping,6515
30,6266,76,Growth rate,512
31,6263,16,Mobility,6179
32,6067,93,Size of Small Crystallites,1
33,6042,19,Concentration,5609
34,6040,71,Crystallinity (Overall),5
35,5745,10,Property,5610
36,5713,74,Sheet resistance,603
37,5527,8,Length,5481
38,5501,96,Electron mobility (assumed),2
39,5487,33,Orientation,4876
40,5476,199,Dislocation Density,3689
41,5388,6,Not Applicable,4318
42,5329,111,Absorption Coefficient,3755
43,5170,111,Overall Absorption Spectrum,9
44,5118,241,Thickness of layer,12
45,4991,40,Hall mobility,1036
46,4976,15,Responsivity,4791
47,4914,50,Efficiency,4586
48,4720,39,Dark Current,4137
49,4698,17,Density,4640
50,4645,90,Film Thickness,3547
51,4552,135,Surface rms roughness,11
52,4393,43,Series Resistance,3661
53,4228,64,Bandgap Energy Eg,2
54,4071,161,Absorption peak,306
55,4025,78,Absorption edge,550
56,3979,131,Dielectric constant,648
57,3889,112,Photocurrent Density (relative),2
58,3829,92,Crystalline Quality,3135
59,3820,124,Emission wavelength,418
60,3790,104,Growth temperature,324
61,3765,55,Optical bandgap,689
62,3729,18,Work Function,2760
63,3684,3,Function,3678
64,3667,26,Lateral size,224
65,3645,108,PL Intensity (Overall),1
66,3638,2,Size,3637
67,3622,237,Photoluminescence Peak Intensity,206
68,3565,9,Photocurrent,3542
69,3554,141,Photoluminescence,2080
70,3553,93,Full-width at half-maximum,59
71,3446,39,Optical transmittance,512
72,3399,3,Role,3397
73,3379,17,Transmittance,3155
74,3369,36,Activation energy,491
75,3369,36,LUMO Level Energy,6
76,3353,45,Hole Mobility,2456
77,3311,3,Material,3291
78,3289,109,Crystal orientation,321
79,3197,16,HOMO Energy Level,1843
80,3138,17,Width,3095
81,3105,195,Threading Dislocation density,18
82,3053,18,Stability,3007
83,3033,53,Conductivity,2418
84,3020,29,Molecular weight,252
85,2947,25,Strain,2867
86,2927,31,Binding energy,330
87,2908,3,Crystal quality,230
88,2821,5,Electrical resistivity,389
89,2784,19,Ideality Factor,2064
90,2761,9,Height,2734
91,2754,135,Photoconductivity,2076
