cluster_id,cluster_total_frequency,member_count,property,count
11,12905,129,Carrier Concentration,9349
11,12905,129,Carrier concentration,2036
11,12905,129,Free carrier concentration,161
11,12905,129,Free Carrier Concentration,398
11,12905,129,Carrier Concentration Profile,156
11,12905,129,Carrier concentration profile,49
11,12905,129,Carrier Concentration profile,1
11,12905,129,Carrier concentration profiles,2
11,12905,129,Intrinsic Carrier Concentration,118
11,12905,129,Intrinsic carrier concentration,63
11,12905,129,Carrier concentration n,2
11,12905,129,Carrier Concentration (N),13
11,12905,129,Carrier Concentration (n),68
11,12905,129,Carrier concentration (n),12
11,12905,129,Carrier Concentration (Bulk),2
11,12905,129,Bulk carrier concentration,3
11,12905,129,Bulk Carrier Concentration,46
11,12905,129,Carrier Concentration Distribution,38
11,12905,129,Carrier concentration distribution,12
11,12905,129,Effective carrier concentration,9
11,12905,129,Effective Carrier Concentration,36
11,12905,129,Carrier Concentration / Type,2
11,12905,129,Carrier Type/Concentration,4
11,12905,129,Carrier Concentration and Type,2
11,12905,129,Carrier concentration and type,5
11,12905,129,Carrier Type and Concentration,16
11,12905,129,Carrier type and concentration,2
11,12905,129,Type & Carrier Concentration,1
11,12905,129,Average carrier concentration,9
11,12905,129,Average Carrier Concentration,16
11,12905,129,Carrier (Electron) Concentration,3
11,12905,129,Carrier (electron) concentration,3
11,12905,129,Carrier concentration (electron),2
11,12905,129,Carrier Concentration (electron),2
11,12905,129,Carrier Concentration (Electron),10
11,12905,129,Carrier Concentration (n-type),16
11,12905,129,Carrier concentration (n-type),3
11,12905,129,Total Carrier Concentration,18
11,12905,129,Carrier Concentration in the Active,1
11,12905,129,Active Carrier Concentration,7
11,12905,129,Active carrier concentration,7
11,12905,129,Change in Carrier Concentration,4
11,12905,129,Carrier Concentration Change,5
11,12905,129,Carrier concentration change,2
11,12905,129,Carrier Concentration Changes,2
11,12905,129,Relative Change in Carrier Concentration,1
11,12905,129,Carrier concentrations,4
11,12905,129,Carrier Concentrations,9
11,12905,129,Apparent Carrier Concentration,6
11,12905,129,Apparent carrier concentration,6
11,12905,129,Carrier concentration maximum,1
