material_name,Frequency
ZnO,11407
GaN,9334
GaAs,5517
CdS,3737
TiO2,3306
AlN,3081
CdTe,2593
Si,2019
Al,1631
Au,1627
InP,1544
ITO,1543
InN,1532
ZnS,1352
CdSe,1348
SiO2,1346
Silicon (Si),1329
ZnSe,1222
GaAs Substrate,1156
Ag,1145
Al2O3,1066
InAs,958
Graphene,927
GaAs substrate,871
SnO2,861
P3HT,849
Sapphire,803
InGaN,791
GaSb,788
Sapphire substrate,783
SiC,774
CZTS,751
MoS2,746
PEDOT:PSS,737
Sapphire Substrate,733
Cu,656
ZnTe,656
Ge,636
AlGaN,624
PCBM,603
Gold (Au),587
PC71BM,581
a-Si:H,569
Mo,568
Si Substrate,563
InGaAs,562
n-GaN,556
Pt,544
ZnO Nanorods,535
ZnO:Al,531
GaN Buffer Layer,513
FTO,507
p-GaN,506
InAs QDs,499
SnS,488
Substrate,479
HgCdTe,477
InP Substrate,472
Ni,456
AZO,440
GaN buffer layer,439
Si substrate,437
Cu2O,425
GaN Epilayer,422
Silicon,421
Ga,420
GaP,420
h-BN,407
AlGaAs,401
AlAs,395
CIGS,393
Not specified,391
GaAs (Substrate),383
C60,373
In0.53Ga0.47As,369
AlGaN/GaN Heterostructure,369
Glass,367
NiO,355
Electrolyte,352
GaN layer,351
In,349
AlN buffer layer,348
Aluminum (Al),348
3C-SiC,340
MoO3,338
ZnO nanorods,337
CdSe QDs,335
GaAs Buffer Layer,334
Air,334
Zn,332
PbS,327
CuO,318
Mg,315
4H-SiC,314
ZnO Nanowires,309
Diamond,306
Sn,305
InP substrate,303
PMMA,299
β-Ga2O3,296
Ti,295
InAs Quantum Dots (QDs),295
HfO2,294
Mn,293
MAPbI3,293
O,292
SiNx,286
Ni/Au,282
ITO (Indium Tin Oxide),281
InSb,274
WS2,270
Ti/Au,266
GaN film,260
Sapphire (Al2O3),259
AlN Buffer Layer,257
In2O3,254
Si3N4,254
Ga2O3,253
P3HT:PCBM,250
CuInS2,249
a-SiC:H,245
Fe,245
GaSb Substrate,241
MgO,241
Silicon Dioxide (SiO2),239
CH3NH3PbI3,232
Si (Substrate),231
In2S3,227
Carbon (C),224
Nitrogen (N),221
GaN Nanowires,221
AZO (Al-doped ZnO),221
Si(111) Substrate,221
GaN Layer,219
p-Si,218
Hg1-xCdxTe,218
Indium Tin Oxide (ITO),217
WO3,215
Oxygen (O),215
n-GaAs,214
ZnO nanoparticles,211
AlxGa1-xN,211
Glass substrate,211
PC61BM,210
InGaN/GaN MQWs,206
InGaAsP,204
CdSe/ZnS QDs,203
GaN:Mg,203
i-ZnO,202
Sb2S3,202
Spiro-OMeTAD,199
Al0.3Ga0.7As,198
InAlAs,197
Silver (Ag),195
Sb2Se3,195
S,194
Indium (In),194
N,193
Germanium (Ge),193
Undoped GaN,192
Te,190
GaAs buffer layer,189
HgTe,185
GaN Template,184
FTO Glass,183
Silicon Substrate,182
Cr,182
AlxGa1-xAs,179
p-GaN layer,179
AlN Nucleation Layer,179
Se,177
CuInSe2,177
ZnO NPs,177
GaN substrate,175
GaN Substrate,174
GaN epilayer,174
MoSe2,173
GaN Nucleation Layer,173
Aluminum,173
GaN template,173
CdO,172
CdS QDs,171
ZnO Nanoparticles,167
PC70BM,166
TiN,166
PbSe,166
LGO,165
AlSb,164
Zinc Oxide (ZnO),164
Carbon,163
6H-SiC,163
GaSb substrate,163
As,162
Silicon Carbide (SiC),162
ZnO NRs,160
Sb,159
WSe2,159
SnS2,159
hBN,158
AlGaN/GaN HEMT Structure,158
2DEG,156
ZnO film,155
N719 dye,154
C,153
Glass Substrate,152
GaN Barrier,152
AlN layer,152
CsPbBr3,149
Co,148
CdZnTe,148
Hydrogen (H),146
Aluminum Nitride (AlN),146
InAs Quantum Dots,146
Electrodes,146
4H-SiC Substrate,146
Pd,145
In0.52Al0.48As,145
Arsenic (As),144
"CIGS (Cu(In,Ga)Se2)",143
PBDB-T,143
InGaN/GaN MQW,142
PbS QDs,142
AlN nucleation layer,142
Sapphire (Substrate),141
n-type GaN,141
n-Si,140
CZTS (Cu2ZnSnS4),140
CdSe Quantum Dots,140
GaN Nanowire,140
n-GaN layer,139
PTB7-Th,139
CdS buffer layer,139
Gold,139
GaN Cap Layer,138
Copper (Cu),136
g-C3N4,136
Mg-doped GaN,135
rGO,133
a-C:H,133
MEH-PPV,133
CZTSSe,131
InP (Substrate),131
SiC Substrate,131
Ohmic Contacts,127
ZrO2,127
Bi2S3,127
PCPDTBT,125
InxGa1-xN,125
PbI2,125
BCP,124
Gallium Nitride (GaN),124
CuS,124
CdTe QDs,124
GaAs Quantum Well,123
Metal,123
GaAs Cap Layer,123
n-ZnO,123
FTO (Fluorine-doped Tin Oxide),122
4H-SiC Epilayer,122
p-type GaN,121
Oxygen,121
Bi2Se3,120
BiVO4,120
CZTSe,118
GaN Barriers,118
AlGaN Barrier Layer,117
ZnO nanowires,116
MAPbBr3,116
GaN (Epilayer),116
GaN Film,116
ITIC,115
Au NPs,115
GaN (Buffer Layer),115
PbTe,114
Boron Nitride (BN),114
Al (Aluminum),113
Si (111) Substrate,113
LiF,112
Quantum Dots (QDs),112
GaN barrier,111
n-GaN Layer,111
Si(111) substrate,111
Interface,111
"Zn(O,S)",111
CdSe Quantum Dots (QDs),110
Not Specified,110
Platinum (Pt),109
SiN,109
nc-Si:H,109
FTO glass,109
Nickel (Ni),108
Photoresist,106
SiOx,106
GaN:Si,106
Silicon (Si) Substrate,106
Quantum Dot (QD),105
Gallium (Ga),105
Cu2ZnSnS4 (CZTS),105
Si(111),105
ZnO Seed Layer,104
p-GaN Layer,104
InGaP,104
AlGaN/GaN HEMT,104
Boron (B),104
Cu2S,103
Er,103
MWCNTs,103
SnO2:F,102
TiO2 nanoparticles,102
Si-doped GaN,102
ZnO:Ga,102
Gallium Arsenide (GaAs),101
ZnO:B,101
GaN epitaxial layer,100
...,100
PTB7,100
Cr/Au,99
Graphite,98
CsPbI3,98
FTO substrate,98
Contacts,98
Undoped GaN layer,98
Copper,96
Ga0.47In0.53As,96
GaAsN,96
CuPc,96
Al-doped ZnO,95
Cl,95
Electron,95
Buffer Layer,95
GaN cap layer,95
SiO2 layer,94
GaAs Quantum Wells,94
GaInNAs,94
Molybdenum (Mo),93
MoOx,93
ZnO:N,93
Silicon substrate,93
Polyimide,93
PVA,93
CuSbS2,93
GaAs layer,92
CdS Quantum Dots,92
GaN nucleation layer,92
Pb,92
Undoped ZnO,92
Ti/Al,92
Al0.25Ga0.75N,92
ZnO thin film,91
Ag2S,91
Ti/Al/Ti/Au,91
CdS Quantum Dots (QDs),91
AlN Layer,91
GaN Epitaxial Layer,91
SnSe,91
Ti/Al/Ni/Au,90
Al-doped ZnO (AZO),90
InGaN Quantum Wells (QWs),90
AlGaN/GaN HEMT structure,90
GaAs Epilayer,89
Na,89
Amorphous Silicon (a-Si),88
CIGS absorber layer,88
Ti/Pt/Au,88
ZnO (Host),88
Counter Electrode,88
GaAs/AlGaAs Heterostructure,88
P1,87
SiO2 Mask,87
Bi,87
Au (Gold),87
AZO (Aluminum-doped Zinc Oxide),87
Silicon Wafer,87
GaN (Substrate),87
GaInP,86
SiO2 Layer,86
GaN QDs,86
PCDTBT,86
GaInAs,86
Cu2SnS3,85
ZnO Nanowire,85
Al0.2Ga0.8N,85
InAlN,85
Undoped GaAs,84
Indium,84
Titanium (Ti),84
4H-SiC substrate,84
Surface,84
Si (111) substrate,84
Wetting Layer (WL),84
AlGaN Barrier,84
MgZnO,83
CdS Buffer Layer,83
ZnO (Zinc Oxide),83
n-type GaN layer,83
PbS CQDs,83
Al0.48In0.52As,83
InSe,82
GaAs cap layer,82
GaN (Host),82
InGaN Well,82
GaN Buffer,82
Cadmium Sulfide (CdS),81
MgF2,81
n-a-Si:H,81
N719 Dye,81
SiC substrate,81
TiO₂,81
a-Si,80
P,80
ZnMgO,80
Electrons,80
P2,79
Bi2Te3,79
GaN (Epitaxial Layer),79
CdS (Cadmium Sulfide),79
GaN nanowires,79
Cd,79
Al0.15Ga0.85N,79
ZnO NWs,79
CuSCN,78
Gate,78
Ag (Silver),78
GZO (Ga-doped ZnO),78
Hydrogen (H2),78
GaAs (Buffer Layer),77
InxGa1-xAs,77
p-GaAs,77
SiO2 mask,76
BN,76
CdSe/ZnS Quantum Dots,76
GaN (Barrier),76
CeO2,76
Water,75
InGaN QDs,75
GaAs (Epitaxial Layer),75
i-a-Si:H,75
Fe2O3,74
Ammonia (NH3),74
Perovskite,73
Iron (Fe),73
4H-SiC Epitaxial Layer,73
ZnO layer,73
Tungsten (W),73
Ag NPs,72
GZO,72
GaInAsP,72
GaSe,72
GO,71
PET,71
CVD Diamond,71
HgCdTe (MCT),71
GaAs/AlGaAs,71
NH3,71
Back Contact,70
CuI,70
H,70
Air Holes,70
a-plane GaN,70
SrTiO3,69
GaN (Well),69
AlGaN Layer,69
Zn1-xMgxO,69
GaAs Capping Layer,69
Al₂O₃,69
Si (Dopant),69
p-Si substrate,69
Nitrogen,68
Chromium (Cr),68
CdS quantum dots,68
GaMnN,68
c-Si,68
CdSe quantum dots,67
InGaAsN,67
Quartz,67
ZnO buffer layer,67
V2O5,67
InP Buffer Layer,66
ZnO QDs,66
