cluster_id,cluster_total_frequency,member_count,property,count
1,3201,8,Thickness,3186
1,3201,8,Thicknesses,2
1,3201,8,Nominal thickness,3
1,3201,8,Nominal Thickness,6
1,3201,8,Thickness Range,1
1,3201,8,Material and Thickness,1
1,3201,8,Thickness (Effective),1
1,3201,8,Thicknesses properties,1
2,884,17,Dielectric constant,117
2,884,17,Dielectric Constant,720
2,884,17,Predicted Dielectric constant,8
2,884,17,Linear dielectric constant,8
2,884,17,Dielectric Constant (εr),8
2,884,17,Dynamic Dielectric Constant,2
2,884,17,Dynamic dielectric constant,2
2,884,17,Dielectric Constant (k),4
2,884,17,Dielectric Constant (Permittivity),4
2,884,17,Dielectric Constant Change,3
2,884,17,Background Dielectric Constant,2
2,884,17,Effect of Dielectric Constant,1
2,884,17,Complex Dielectric Constant,1
2,884,17,Electronic part of the dielectric constant,1
2,884,17,Principal dielectric constants,1
2,884,17,Low Frequency Dielectric Constant,1
2,884,17,lectric constant,1
3,467,14,Refractive Index,405
3,467,14,Refractive index,14
3,467,14,Ordinary Refractive Index,9
3,467,14,Extraordinary Refractive Index,9
3,467,14,Average Refractive Index,8
3,467,14,Refractive Index (n),4
3,467,14,Refractive Index Profile,4
3,467,14,Refractive Index Dispersion,4
3,467,14,Refractive Index Difference,3
3,467,14,Refractive Index and Reflectivity,2
3,467,14,Refractive Index Character,2
3,467,14,Initial Refractive Index,1
3,467,14,Refractive Index Change,1
3,467,14,Refractive Index Distribution,1
4,357,2,Composition,352
4,357,2,In Composition,5
5,337,5,Doping Concentration,301
5,337,5,Doping concentration,29
5,337,5,Doping Concentrations,2
5,337,5,Doping Type and Concentration,4
5,337,5,Active Doping Concentration,1
6,265,18,Band gap,25
6,265,18,Band Gap,199
6,265,18,Band-Gap,1
6,265,18,Band-gap,12
6,265,18,Electronic Band Gap,4
6,265,18,Electronic band gap,4
6,265,18,Band Gap Type,4
6,265,18,Direct Band Gap,1
6,265,18,Direct Band-gap,2
6,265,18,Second Band Gap,1
6,265,18,Third Band Gap,1
6,265,18,Band Gap Presence,2
6,265,18,Band Gap Existence,2
6,265,18,Forbidden Band Gap,2
6,265,18,Band-gap Feature,2
6,265,18,Band-Gap Nature,1
6,265,18,Secondary Band Gap,1
6,265,18,Band Gap Position,1
7,261,3,Relative permittivity,25
7,261,3,Relative Permittivity,233
7,261,3,Relative Dielectric Permittivity Ratio,3
8,235,3,Threshold Voltage,197
8,235,3,Threshold voltage,36
8,235,3,Calculated Threshold Voltage,2
9,234,15,Leakage Current Density,177
9,234,15,Leakage current density,21
9,234,15,Leakage-current density,6
9,234,15,Leakage current density increment,4
9,234,15,Leakage Current Density Increment,3
9,234,15,Leakage current density vs. electrical field,7
9,234,15,Electrical Leakage Current Density,6
9,234,15,Reverse Leakage Current Density,2
9,234,15,Reverse leakage current density,1
9,234,15,Reverse Leakage Current Density (J),2
9,234,15,Total leakage current density,1
9,234,15,Leakage Current Density Stability,1
9,234,15,Junction Leakage Current Density,1
9,234,15,Reverse Leakage Current Density Increase,1
9,234,15,Leakage Current Density Bias Condition,1
10,208,5,Cross-sectional Morphology,171
10,208,5,Cross-sectional morphology,34
10,208,5,Cross-Sectional Morphology,1
10,208,5,Cross-sectional Morphology/Topography,1
10,208,5,Cross-sectional Topography,1
11,207,2,Not Specified,133
11,207,2,Not specified,74
12,203,8,Lattice Constants,14
12,203,8,Lattice constants,13
12,203,8,Lattice constant,29
12,203,8,Lattice Constant,136
12,203,8,Calculated lattice constants,4
12,203,8,Calculated lattice constant,1
12,203,8,Lattice Constant Expansion,4
12,203,8,In-Plane Lattice Constant,2
13,199,15,Interface States Density,2
13,199,15,Interface Density of States,2
13,199,15,Interface density of states,2
13,199,15,Density of Interface States,5
13,199,15,Density of interface states,12
13,199,15,Interface state density,25
13,199,15,Interface State Density,120
13,199,15,Interface-state density,6
13,199,15,Interface-State Density,13
13,199,15,Interface State Density (Dit),5
13,199,15,Interface State Density Contribution,2
13,199,15,Interface State Density Distribution Comparison,2
13,199,15,Interface State Density Distribution,1
13,199,15,Integrated Interface State Density,1
13,199,15,Minimum Interface State Density,1
14,197,12,Interface trap density,26
14,197,12,Interface Trap Density,150
14,197,12,Interface Trap Charge Density,5
14,197,12,Fast Interface Trap Density,1
14,197,12,Fast interface trap density,3
14,197,12,Interface Trap Density (Dit),3
14,197,12,Density of Interface Traps,2
14,197,12,Interface Trap Density Reduction,2
14,197,12,Average density of interface traps,2
14,197,12,Minimum Interface Trap Density,1
14,197,12,Interface Trap Distribution,1
14,197,12,Slow Interface Trap Density,1
15,194,28,Gate leakage current,33
15,194,28,Gate Leakage Current,110
15,194,28,Gate-Leakage Current,1
15,194,28,Gate Forward Leakage Current,2
15,194,28,Gate forward leakage current,4
15,194,28,Forward Gate Leakage Current,3
15,194,28,Gate-Source Leakage Current,3
15,194,28,Gate–source leakage current,3
15,194,28,Gate Leakage Current vs. Gate Voltage Behavior,4
15,194,28,Gate Leakage Current (IGS),4
15,194,28,Gate Leakage Current-Voltage Characteristics,3
15,194,28,Gate Leakage Current Stability,3
15,194,28,Off-state Gate Leakage Current,1
15,194,28,Off-State Gate Leakage Current,1
15,194,28,Gate Leakage Current Increase,2
15,194,28,Gate Leakage Current Reduction,2
15,194,28,Gate Leakage Current Path,2
15,194,28,Gate Reverse Leakage Current,2
15,194,28,Gate Leakage Current Activation Energy,2
15,194,28,High Voltage Gate Leakage Current,1
15,194,28,Gate Leakage Current Degradation,1
15,194,28,Gate-Bulk Leakage Current,1
15,194,28,Gate Leakage,1
15,194,28,Gate Leakage Current Suppression,1
15,194,28,Gate to source leakage current,1
15,194,28,Gate leakage current turn-on voltage,1
15,194,28,Reduction in Gate forward leakage current,1
15,194,28,Normalized Gate Leakage Current,1
16,191,3,Thermal Conductivity,128
16,191,3,Thermal conductivity,59
16,191,3,Electronic thermal conductivity,4
17,188,4,Permittivity,178
17,188,4,Permittivity (k),4
17,188,4,Permittivity Profile,3
17,188,4,Permittivity Contrast,3
18,177,2,Presence,176
18,177,2,Presence and Effect,1
19,174,5,Surface morphology,9
19,174,5,Surface Morphology,156
19,174,5,Surface Morphology/Structure,2
19,174,5,Morphology (Surface),6
19,174,5,Surface Morphology (Untreated),1
20,166,22,Layer Thicknesses,32
20,166,22,Layer Thickness,94
20,166,22,Thicknesses of Layers,1
20,166,22,Thickness per Layer,1
20,166,22,Thickness (per layer),4
20,166,22,Layer 1 Thickness,2
20,166,22,Thickness of Layer 1,3
20,166,22,Layer 3 Thickness,2
20,166,22,Thickness of Layer 3,3
20,166,22,Layer 2 Thickness,2
20,166,22,Thickness of Layer 2,3
20,166,22,Surface Layer Thickness,5
20,166,22,Layer 5 Thickness,2
20,166,22,Layer Thickness/Number,2
20,166,22,Layer 4 Thickness,2
20,166,22,Effect of Layer Thicknesses,2
20,166,22,Thickness of Individual Layers,1
20,166,22,Layer A Thickness,1
20,166,22,Layer Thickness Ratio,1
20,166,22,Layer Composition and Thickness,1
20,166,22,Layer B Thickness,1
20,166,22,Outermost Layer Thickness,1
21,118,4,Electron mobility,19
21,118,4,Electron Mobility,91
21,118,4,Effective Electron Mobility,6
21,118,4,Effective 2D electron mobility,2
22,117,4,Crystal Structure,93
22,117,4,Crystal structure,14
22,117,4,Crystal Structure Confirmation,6
22,117,4,Crystalline Structure,4
23,113,6,Conduction Band Offset,94
23,113,6,Conduction band offset,4
23,113,6,Conduction-band offset,8
23,113,6,Conduction-Band Offset,5
23,113,6,Conduction Band Offset Edge,1
23,113,6,Conduction Band Offset with Si,1
24,111,7,Surface roughness,10
24,111,7,Surface Roughness,82
24,111,7,Surface Morphology and Roughness,7
24,111,7,Surface Finish (Roughness),5
24,111,7,Surface and Interface Roughness,4
24,111,7,Surface Layer Roughness,2
24,111,7,Surface Roughness Increase,1
25,109,6,Equivalent oxide thickness,2
25,109,6,Equivalent Oxide Thickness,100
25,109,6,Total Equivalent Oxide Thickness,2
25,109,6,Oxide thickness evolution,2
25,109,6,Top Oxide Thickness,2
25,109,6,Oxide Layer Thickness,1
26,106,5,Transconductance,93
26,106,5,Intrinsic Transconductance,7
26,106,5,Intrinsic transconductance,1
26,106,5,Maximal extrinsic transconductance,3
26,106,5,"Extrinsic transconductance (gm,ext)",2
27,106,4,Breakdown Voltage,88
27,106,4,Breakdown voltage,16
27,106,4,Hard Breakdown Voltage,1
27,106,4,Hard breakdown voltage,1
28,105,12,Dielectric permittivity,1
28,105,12,Dielectric Permittivity,79
28,105,12,Relative Dielectric Permittivity,9
